SPCD,COMMON_NAME,MAJOR_SPGRPCD,MAJOR_NAME,E_SPGRPCD,EAST_NAME,W_SPGRPCD,WEST_NAME,C_SPGRPCD,CARIBBEAN_NAME,P_SPGRPCD,PACIFIC_NAME,JENKINS_SPGRPCD,JENKINS_NAME,STOCKING_SPGRPCD,STOCKING_NAME
10,fir spp.,2,Other softwoods,6.0,Spruce and balsam fir,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
11,Pacific silver fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
12,balsam fir,2,Other softwoods,6.0,Spruce and balsam fir,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
14,Santa Lucia or bristlecone fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
15,white fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,15.0,Douglas-fir
16,Fraser fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
17,grand fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
18,corkbark fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
19,subalpine fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,1.0,Spruce-fir
20,California red fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
21,Shasta red fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
22,noble fir,2,Other softwoods,9.0,Other eastern softwoods,12.0,True fir,,,,,3,True fir/hemlock,18.0,Western hemlock
40,white-cedar spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
41,Port-Orford-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,18.0,Western hemlock
42,Alaska yellow-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,18.0,Western hemlock
43,Atlantic white-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,16.0,Northern white cedar
50,cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,52.0,Other tropical and subtropical softwoods,52.0,Other tropical and subtropical softwoods,1,Cedar/larch,10.0,Ponderosa pine
51,Arizona cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
52,Baker or Modoc cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
53,Tecate cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
54,Monterey cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
55,Sargent's cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
56,MacNab's cypress,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,10.0,Ponderosa pine
57,redcedar/juniper spp.,2,Other softwoods,9.0,Other eastern softwoods,23.0,Woodland softwoods,,,,,1,Cedar/larch,20.0,Average softwood
58,Pinchot juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
59,redberry juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
60,Drooping juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,20.0,Average softwood
61,Ashe juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,20.0,Average softwood
62,California juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
63,alligator juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
64,western juniper,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,38.0,Dryland species
65,Utah juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
66,Rocky Mountain juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
67,southern redcedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
68,eastern redcedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,20.0,Average softwood
69,oneseed juniper,2,Other softwoods,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
70,larch spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,1.0,Spruce-fir
71,tamarack,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,1.0,Spruce-fir
72,subalpine larch,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,2.0,Western larch
73,western larch,2,Other softwoods,9.0,Other eastern softwoods,19.0,Western larch,,,,,1,Cedar/larch,2.0,Western larch
74,Japanese larch,2,Other softwoods,56.0,Urban-specific softwoods,56.0,Urban-specific softwoods,,,,,1,Cedar/larch,20.0,Average softwood
75,Siberian larch,2,Other softwoods,56.0,Urban-specific softwoods,56.0,Urban-specific softwoods,,,,,1,Cedar/larch,20.0,Average softwood
81,incense-cedar,2,Other softwoods,9.0,Other eastern softwoods,20.0,Incense-cedar,,,,,1,Cedar/larch,18.0,Western hemlock
90,spruce spp.,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
91,Norway spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
92,Brewer spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,18.0,Western hemlock
93,Engelmann spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
94,white spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
95,black spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,3.0,Black spruce
96,blue spruce,2,Other softwoods,9.0,Other eastern softwoods,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
97,red spruce,2,Other softwoods,6.0,Spruce and balsam fir,18.0,Engelmann and other spruces,,,,,5,Spruce,1.0,Spruce-fir
98,Sitka spruce,2,Other softwoods,9.0,Other eastern softwoods,17.0,Sitka spruce,,,,,5,Spruce,18.0,Western hemlock
100,pine spp.,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,51.0,Tropical and subtropical pines,52.0,Other tropical and subtropical softwoods,4,Pine,20.0,Average softwood
101,whitebark pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
102,Rocky Mountain bristlecone pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
103,knobcone pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,8.0,Western white pine
104,foxtail pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,8.0,Western white pine
105,jack pine,1,Pines,5.0,Jack pine,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
106,common or two-needle pinyon,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
107,sand pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
108,lodgepole pine,1,Pines,9.0,Other eastern softwoods,21.0,Lodgepole pine,,,,,4,Pine,5.0,Lodgepole pine
109,Coulter pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
110,shortleaf pine,1,Pines,2.0,Loblolly and shortleaf pines,24.0,Other western softwoods,,,,,4,Pine,6.0,Shortleaf pine
111,slash pine,1,Pines,1.0,Longleaf and slash pines,24.0,Other western softwoods,,,,,4,Pine,7.0,Slash pine
112,Apache pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
113,limber pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
114,southwestern white pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
115,spruce pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
116,Jeffrey pine,1,Pines,9.0,Other eastern softwoods,11.0,Ponderosa and Jeffrey pines,,,,,4,Pine,10.0,Ponderosa pine
117,sugar pine,1,Pines,9.0,Other eastern softwoods,14.0,Sugar pine,,,,,4,Pine,10.0,Ponderosa pine
118,Chihuahuan pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
119,western white pine,1,Pines,9.0,Other eastern softwoods,15.0,Western white pine,,,,,4,Pine,8.0,Western white pine
120,bishop pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
121,longleaf pine,1,Pines,1.0,Longleaf and slash pines,24.0,Other western softwoods,,,,,4,Pine,9.0,Longleaf pine
122,ponderosa pine,1,Pines,9.0,Other eastern softwoods,11.0,Ponderosa and Jeffrey pines,,,,,4,Pine,10.0,Ponderosa pine
123,Table Mountain pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
124,Monterey pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,51.0,Tropical and subtropical pines,4,Pine,10.0,Ponderosa pine
125,red pine,1,Pines,4.0,Eastern white and red pines,24.0,Other western softwoods,,,,,4,Pine,11.0,Red pine
126,pitch pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
127,gray or California foothill pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,38.0,Dryland species
128,pond pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,12.0,Pond pine
129,eastern white pine,1,Pines,4.0,Eastern white and red pines,24.0,Other western softwoods,,,,,4,Pine,13.0,Eastern white pine
130,Scotch pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
131,loblolly pine,1,Pines,2.0,Loblolly and shortleaf pines,24.0,Other western softwoods,,,51.0,Tropical and subtropical pines,4,Pine,14.0,Loblolly pine
132,Virginia pine,1,Pines,3.0,Other yellow pines,24.0,Other western softwoods,,,,,4,Pine,4.0,Jack pine
133,singleleaf pinyon,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
134,border pinyon,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
135,Arizona pine,1,Pines,9.0,Other eastern softwoods,11.0,Ponderosa and Jeffrey pines,,,,,4,Pine,10.0,Ponderosa pine
136,Austrian pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,20.0,Average softwood
137,Washoe pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
138,four-leaf or Parry pinyon pine,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
139,Torrey pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
140,Mexican pinyon pine,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
141,papershell pinyon pine,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
142,Great Basin bristlecone pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,10.0,Ponderosa pine
143,Arizona pinyon pine,1,Pines,23.0,Woodland softwoods,23.0,Woodland softwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
144,Honduras pine,1,Pines,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,4,Pine,7.0,Slash pine
200,Douglas-fir spp.,2,Other softwoods,9.0,Other eastern softwoods,10.0,Douglas-fir,,,,,2,Douglas-fir,15.0,Douglas-fir
201,bigcone Douglas-fir,2,Other softwoods,9.0,Other eastern softwoods,10.0,Douglas-fir,,,,,2,Douglas-fir,15.0,Douglas-fir
202,Douglas-fir,2,Other softwoods,9.0,Other eastern softwoods,10.0,Douglas-fir,,,,,2,Douglas-fir,15.0,Douglas-fir
211,redwood,2,Other softwoods,9.0,Other eastern softwoods,16.0,Redwood,,,52.0,Other tropical and subtropical softwoods,1,Cedar/larch,19.0,Redwood
212,giant sequoia,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,19.0,Redwood
220,baldcypress spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,31.0,Sweetgum
221,baldcypress,2,Other softwoods,8.0,Cypress,24.0,Other western softwoods,,,,,1,Cedar/larch,31.0,Sweetgum
222,pondcypress,2,Other softwoods,8.0,Cypress,24.0,Other western softwoods,,,,,1,Cedar/larch,31.0,Sweetgum
223,Montezuma baldcypress,2,Other softwoods,8.0,Cypress,24.0,Other western softwoods,52.0,Other tropical and subtropical softwoods,,,1,Cedar/larch,31.0,Sweetgum
230,yew spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
231,Pacific yew,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
232,Florida yew,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
240,thuja spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,52.0,Other tropical and subtropical softwoods,,,1,Cedar/larch,16.0,Northern white cedar
241,northern white-cedar,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,1,Cedar/larch,16.0,Northern white cedar
242,western redcedar,2,Other softwoods,9.0,Other eastern softwoods,22.0,Western redcedar,,,,,1,Cedar/larch,18.0,Western hemlock
250,torreya (nutmeg) spp.,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
251,California torreya (nutmeg),2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
252,Florida torreya (nutmeg),2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
260,hemlock spp.,2,Other softwoods,7.0,Eastern hemlock,24.0,Other western softwoods,,,,,3,True fir/hemlock,17.0,Eastern hemlock
261,eastern hemlock,2,Other softwoods,7.0,Eastern hemlock,24.0,Other western softwoods,,,,,3,True fir/hemlock,17.0,Eastern hemlock
262,Carolina hemlock,2,Other softwoods,7.0,Eastern hemlock,24.0,Other western softwoods,,,,,3,True fir/hemlock,17.0,Eastern hemlock
263,western hemlock,2,Other softwoods,9.0,Other eastern softwoods,13.0,Western hemlock,,,,,3,True fir/hemlock,18.0,Western hemlock
264,mountain hemlock,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,,,,,3,True fir/hemlock,18.0,Western hemlock
299,unknown dead conifer,2,Other softwoods,9.0,Other eastern softwoods,24.0,Other western softwoods,52.0,Other tropical and subtropical softwoods,52.0,Other tropical and subtropical softwoods,4,Pine,20.0,Average softwood
300,acacia spp.,3,Soft hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,10,Juniper/oak/mesquite,38.0,Dryland species
303,sweet acacia,3,Soft hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,54.0,Tropical and subtropical hardwoods,54.0,Tropical and subtropical hardwoods,10,Juniper/oak/mesquite,38.0,Dryland species
304,catclaw acacia,3,Soft hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
310,maple spp.,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,7,Soft maple/birch,37.0,Average hardwood
311,Florida maple,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
312,bigleaf maple,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
313,boxelder,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,36.0,"Elm, ash, cottonwood"
314,black maple,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,27.0,"Maple, beech, birch"
315,striped maple,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,27.0,"Maple, beech, birch"
316,red maple,3,Soft hardwoods,32.0,Soft maple,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
317,silver maple,3,Soft hardwoods,32.0,Soft maple,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
318,sugar maple,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,27.0,"Maple, beech, birch"
319,mountain maple,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
320,Norway maple,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,7,Soft maple/birch,25.0,Red maple
321,Rocky Mountain maple,4,Hard hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
322,bigtooth maple,4,Hard hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,,,,,10,Juniper/oak/mesquite,38.0,Dryland species
323,chalk maple,4,Hard hardwoods,31.0,Hard maple,47.0,Other western hardwoods,,,,,8,Mixed hardwood,36.0,"Elm, ash, cottonwood"
324,trident maple,3,Soft hardwoods,55.0,Urban-specific hardwoods,55.0,Urban-specific hardwoods,,,,,8,Mixed hardwood,,
325,purple blow maple,3,Soft hardwoods,55.0,Urban-specific hardwoods,55.0,Urban-specific hardwoods,,,,,8,Mixed hardwood,,
330,"buckeye, horsechestnut spp.",3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
331,Ohio buckeye,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
332,yellow buckeye,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
333,California buckeye,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
334,Texas buckeye,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
335,red horse-chestnut,3,Soft hardwoods,55.0,Urban-specific hardwoods,55.0,Urban-specific hardwoods,,,,,8,Mixed hardwood,,
336,red buckeye,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
337,painted buckeye,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,27.0,"Maple, beech, birch"
341,ailanthus,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,54.0,Tropical and subtropical hardwoods,8,Mixed hardwood,25.0,Red maple
345,mimosa,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,36.0,"Elm, ash, cottonwood"
350,alder spp.,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,54.0,Tropical and subtropical hardwoods,6,Aspen/alder/cottonwood-willow,37.0,Average hardwood
351,red alder,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,45.0,Red alder,,,,,6,Aspen/alder/cottonwood-willow,26.0,Red alder
352,white alder,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,6,Aspen/alder/cottonwood-willow,26.0,Red alder
353,Arizona alder,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,6,Aspen/alder/cottonwood-willow,37.0,Average hardwood
355,European alder,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,6,Aspen/alder/cottonwood-willow,26.0,Red alder
356,serviceberry spp.,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
357,common serviceberry,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
358,roundleaf serviceberry,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
360,madrone spp.,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
361,Pacific madrone,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
362,Arizona madrone,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,37.0,Average hardwood
363,Texas madrone,4,Hard hardwoods,48.0,Woodland hardwoods,48.0,Woodland hardwoods,,,,,10,Juniper/oak/mesquite,29.0,Oaks and hickory
367,pawpaw,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,25.0,Red maple
369,Himalayan birch,3,Soft hardwoods,55.0,Urban-specific hardwoods,55.0,Urban-specific hardwoods,,,,,8,Mixed hardwood,,
370,birch spp.,4,Hard hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,37.0,Average hardwood
371,yellow birch,4,Hard hardwoods,30.0,Yellow birch,47.0,Other western hardwoods,,,,,7,Soft maple/birch,27.0,"Maple, beech, birch"
372,sweet birch,4,Hard hardwoods,42.0,Other eastern hard hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,27.0,"Maple, beech, birch"
373,river birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
374,water birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
375,paper birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
376,resin birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
377,Virginia roundleaf birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,27.0,"Maple, beech, birch"
378,northwestern paper birch,3,Soft hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
379,gray birch,3,Soft hardwoods,41.0,Other eastern soft hardwoods,47.0,Other western hardwoods,,,,,7,Soft maple/birch,28.0,Paper birch
381,gum bumelia,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,25.0,Red maple
390,Japanese hornbeam,4,Hard hardwoods,55.0,Urban-specific hardwoods,55.0,Urban-specific hardwoods,,,,,8,Mixed hardwood,,
391,American hornbeam,4,Hard hardwoods,43.0,Eastern noncommercial hardwoods,47.0,Other western hardwoods,,,,,8,Mixed hardwood,25.0,Red maple
400,hickory spp.,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
401,water hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
402,bitternut hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
403,pignut hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
404,pecan,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
405,shellbark hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
406,nutmeg hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
407,shagbark hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
408,black hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
409,mockernut hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
410,sand hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
411,scrub hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
412,red hickory,4,Hard hardwoods,29.0,Hickory,47.0,Other western hardwoods,,,,,9,Hard maple/oak/hickory/beech,29.0,Oaks and hickory
